22	25	23	26	24	27	23
18	27	44	43	25	35	22
166	206	257	257	379	471	308
34	23	11	22	20	18	20
32	35	41	41	14	22	12
4	7	33	13	30	34	26
137	324	521	471	462	530	389
905	1728	1845	1845	1807	1842	1668
2	1	1	1	1	1	1
45	57	104	94	180	243	150
5	4	2	2	2	1	2
33	45	48	60	32	42	35
7	5	17	6	15	14	15
114	91	207	116	193	192	182
83	89	71	95	55	63	72
280	602	1012	1108	285	427	324
71	50	43	32	50	38	60
453	375	372	379	541	515	485
110	224	435	429	3197	4040	2166
7740	2334	1980	1979	2727	2479	3409
11	12	11	15	7	7	6
901	321	335	342	268	282	249
1	1	1	1	1	1	1
5	5	3	4	7	8	5
8	10	11	11	11	11	11
2	1	2	2	2	2	3
1	1	1	1	1	1	1
19	101	687	373	1007	1123	744
18	19	17	18	13	15	15
12	10	11	11	12	12	12
18	67	150	52	280	235	203
377	1721	3031	2372	3175	3489	2766
2	2	2	2	2	2	2
87	71	64	68	65	62	68
115	127	95	144	57	65	69
55	62	69	74	43	51	63
4	7	33	13	17	19	26
946	1728	1845	1845	1671	1810	1668
2	1	1	1	1	1	1
27	23	33	24	16	17	17
1	1	1	1	1	1	1
280	602	1012	1108	285	427	324
281	315	286	934	286	312	275
1926	4731	13664	5782	15656	15677	15498
756	5252	13552	13552	15284	15410	15282
1	1	1	1	1	1	1
11	11	11	11	14	18	13
1	1	1	1	1	1	1
9	8	9	9	9	9	9
52	955	1455	1177	1729	1776	1730
11	4	4	3	3	3	5
